,Actual,Predicted
759,65991.72,53460.77
760,62202.64000000001,54084.965
761,60666.100000000006,54716.008
762,61312.35,55303.383
763,60886.74,55848.16
764,63099.08000000001,56363.113
765,60301.41,56838.27
766,58435.87,57265.2
767,60564.09999999999,57644.32
768,62275.71,57978.06
769,61882.1,58266.8
770,61336.41,58509.395
771,60891.41,58701.535
772,63224.11,58873.586
773,62912.21,59027.96
774,61383.490000000005,59167.633
775,60924.14,59285.676
776,61465.74,59372.668
777,63266.350000000006,59458.332
778,67548.75,59538.09
779,66956.22,59624.676
780,64839.590000000004,59733.227
781,64781.200000000004,59844.94
782,64120.23000000001,59977.23
783,64412.42,60107.39
784,65504.619999999995,60238.246
785,63611.740000000005,60347.527
786,60056.899999999994,60457.797
787,60356.32,60546.65
788,56878.24,60607.1
789,58083.08,60617.42
790,59699.3,60579.355
791,58612.01,60527.07
792,56233.11,60451.82
793,57562.46,60340.67
794,57146.09,60204.383
795,58990.0,60034.734
796,53720.4,59868.562
797,54607.42,59692.184
798,57318.34,59483.766
799,57774.66,59256.684
800,56975.25,59032.95
801,57178.62,58818.414
802,56544.33,58616.305
803,53647.22,58412.875
804,49189.69,58213.676
805,49393.93,58003.688
806,50455.88,57764.484
807,50591.23,57489.965
808,50500.12,57178.402
809,47660.32,56824.17
810,47136.61,56452.77
811,49401.13,56070.21
812,50049.14,55673.93
813,46649.95,55279.64
814,48348.14,54879.32
815,48860.61,54474.473
816,47589.97,54090.285
817,46127.67,53736.375
818,46806.02,53383.797
819,46670.19,53055.598
820,46925.88,52723.047
821,48917.45,52388.023
822,48626.93,52079.062
823,50840.26,51809.71
824,50836.15,51567.87
825,50390.05,51372.125
826,50771.09,51208.31
827,50708.38,51120.773
828,47570.65,51062.61
829,46475.35,51006.207
830,47105.87,50950.9
831,46192.43,50896.25
832,47716.44,50827.426
833,47300.67,50752.727
834,46494.93,50688.01
835,45838.76,50639.785
836,43438.22,50572.33
837,43100.84,50471.066
838,41625.05,50337.266
839,41696.34,50165.613
840,41842.71,49972.8
841,41840.61,49745.438
842,42742.1,49471.9
843,43930.4,49176.332
844,42585.13,48900.742
845,43062.89,48614.586
846,43082.67,48333.555
847,43087.26,48074.33
848,42214.43,47840.004
849,42364.8,47613.074
850,41664.64,47398.805
851,40675.63,47190.934
852,36445.31,46971.605
853,35083.42,46735.785
854,36254.02,46446.8
855,36674.79,46118.457
856,36970.03,45758.65
857,36721.62,45370.562
858,37166.12,44966.434
859,37743.43,44578.23
860,38161.39,44200.457
861,37937.51,43831.215
862,38471.0,43488.945
863,38721.1,43162.156
864,36901.29,42871.277
865,37333.73,42612.168
866,41578.72,42379.5
867,41450.64,42202.84
868,42407.23,42075.13
869,43854.64,42012.62
870,44081.06,42010.824
871,44393.58,42071.24
872,43468.76,42192.453
873,42366.25,42356.54
874,42236.48,42545.223
875,42087.0,42762.887
876,42558.44,42982.19
877,44561.6,43200.242
878,43865.89,43421.543
879,40481.43,43651.773
880,39983.62,43865.652
881,40099.81,44055.395
882,38427.93,44215.176
883,37035.04,44357.2
884,38239.0,44447.07
885,37225.4,44469.16
886,38330.65,44432.61
887,39201.13,44349.42
888,39129.2,44238.414
889,37690.35,44106.316
890,43193.64,43955.13
891,44400.0,43814.586
892,43848.26,43714.074
893,42476.78,43658.71
894,39128.91,43647.17
895,39381.39,43672.027
896,38398.05,43699.062
897,37979.03,43686.473
898,38709.43,43658.973
899,41965.73,43606.473
900,39433.86,43542.375
901,38730.94,43477.066
902,38794.64,43406.387
903,37775.87,43337.508
904,39689.38,43265.42
905,39300.53,43188.562
906,41106.25,43110.91
907,40921.53,43039.285
908,41814.57,42969.793
909,42216.84,42931.15
910,41259.74,42946.46
911,41000.78,42987.742
912,42372.03,43044.42
913,42896.38,43130.46
914,43970.9,43243.957
915,44319.69,43369.52
916,44530.04,43526.934
917,46818.97,43699.883
918,47092.34,43898.73
919,47453.01,44134.105
920,47058.6,44414.977
921,45492.82,44684.16
922,46274.2,44963.543
923,45798.39,45257.22
924,46402.64,45560.324
925,46600.33,45880.164
926,45478.05,46185.406
927,43158.72,46478.406
928,43465.23,46739.98
929,42240.35,46954.773
930,42775.68,47099.16
931,42082.25,47216.25
932,39529.98,47291.113
933,40049.71,47310.227
934,41074.45,47281.42
935,39942.37,47193.016
936,40553.78,47067.504
937,40377.6,46898.55
938,39671.76,46709.184
939,40804.2,46495.855
940,41480.93,46272.156
941,41366.5,46058.38
942,40471.8,45855.95
943,39709.18,45653.953
944,39443.96,45455.99
945,39450.12,45255.098
946,40424.99,45055.46
947,38119.83,44862.28
948,39240.6,44653.914
949,39749.6,44447.36
950,38594.59,44245.96
951,37624.01,44053.18
952,38482.82,43871.152
953,38519.49,43682.547
954,37733.12,43499.336
955,39690.25,43311.95
956,36557.51,43132.92
957,36016.63,42963.75
958,35465.9,42803.785
959,34067.56,42625.14
960,30068.23,42430.53
961,31010.04,42183.832
962,29107.86,41888.305
963,29034.84,41549.266
964,29280.19,41142.523
965,30102.07,40673.37
966,31314.0,40174.434
967,29883.67,39653.137
968,30449.939999999995,39126.445
969,28712.19,38609.82
970,30306.580000000005,38089.246
971,29203.56,37579.08
972,29441.37,37088.06
973,30283.649999999998,36625.105
974,29114.73,36195.23
975,29642.59,35792.656
976,29545.91,35416.71
977,29188.43,35060.54
978,28619.49,34748.754
979,29031.49,34447.664
980,29472.74,34162.53
981,31743.029999999995,33908.81
982,31814.889999999996,33696.73
983,29805.98,33519.086
984,30450.77,33375.87
985,29713.66,33269.38
986,29871.06,33169.34
987,29913.05,33112.195
988,31380.079999999998,33069.98
989,31129.759999999995,33047.16
990,30205.09,33051.31
991,30081.109999999997,33095.98
992,29101.47,33133.586
993,28428.33,33179.11
994,26567.95,33207.586
995,22478.08,33202.504
996,22116.09,33131.258
997,22573.55,32975.293
998,20410.04,32754.77
999,20460.84,32447.363
1000,18976.6,32075.76
1001,20562.4,31614.549
1002,20570.01,31104.068
1003,20729.37,30550.951
1004,19985.54,29968.922
1005,21107.16,29386.336
1006,21242.86,28805.023
1007,21489.82,28244.154
1008,21035.02,27716.693
1009,20735.95,27228.498
