,Actual,Predicted
764,4162.14,3281.2285
765,4053.17,3310.5754
766,3971.16,3341.6335
767,4168.71,3370.9746
768,4082.7400000000002,3400.602
769,4221.27,3431.1804
770,4131.1,3461.9207
771,3924.07,3491.4622
772,4287.58,3519.4495
773,4420.91,3547.2573
774,4327.24,3575.041
775,4289.83,3601.9736
776,4321.68,3627.0618
777,4593.55,3651.3816
778,4606.14,3676.4866
779,4536.01,3702.76
780,4478.9,3728.8733
781,4523.08,3754.4575
782,4617.13,3779.5186
783,4811.06,3804.416
784,4732.03,3829.9062
785,4631.65,3856.1724
786,4720.15,3881.0813
787,4666.67,3905.5037
788,4644.75,3928.257
789,4627.53,3948.8381
790,4563.29,3967.5251
791,4209.46,3984.339
792,4289.87,3996.9932
793,3998.89,4006.1238
794,4298.98,4009.4321
795,4416.96,4008.3242
796,4263.93,4005.8757
797,4088.88,4001.8098
798,4340.26,3994.4822
799,4271.08,3986.6697
800,4527.0,3977.7256
801,4043.46,3970.3262
802,4097.75,3962.578
803,4297.37,3952.3142
804,4448.52,3941.8074
805,4632.61,3933.1675
806,4587.32,3927.5115
807,4514.08,3924.551
808,4216.37,3922.8696
809,4122.81,3921.5044
810,4202.29,3919.5396
811,4352.96,3916.8938
812,4310.0,3913.9846
813,4442.07,3910.6504
814,4106.5,3907.4294
815,3900.3,3903.738
816,4091.0099999999998,3898.11
817,4133.01,3890.6204
818,3782.45,3882.4304
819,3860.91,3871.7534
820,4019.89,3858.9495
821,3957.94,3845.4592
822,3875.11,3832.5652
823,3961.98,3818.3113
824,3924.96,3804.9075
825,3946.13,3790.1045
826,4016.21,3775.1897
827,3981.37,3761.9033
828,4113.92,3750.2502
829,4049.22,3739.3206
830,4099.33,3730.32
831,4065.33,3722.1455
832,4038.88,3717.5442
833,3793.29,3713.7122
834,3629.25,3708.4705
835,3709.87,3700.7305
836,3677.06,3690.6028
837,3766.49,3679.0671
838,3828.91,3666.9417
839,3765.94,3655.8594
840,3784.59,3644.8506
841,3537.82,3633.4973
842,3406.23,3620.3496
843,3199.19,3605.3762
844,3081.36,3586.5269
845,3150.64,3565.026
846,3083.49,3540.681
847,3239.67,3511.968
848,3372.41,3481.273
849,3241.8,3452.0566
850,3310.63,3422.4583
851,3327.79,3393.093
852,3348.5,3365.6191
853,3210.47,3340.5364
854,3160.82,3316.4102
855,3085.21,3293.405
856,3000.24,3270.6309
857,2567.72,3247.2214
858,2411.72,3220.899
859,2540.72,3189.2656
860,2439.78,3153.9255
861,2460.11,3114.3044
862,2464.96,3071.6013
863,2425.16,3026.6619
864,2547.1,2981.1755
865,2601.93,2936.143
866,2603.07,2891.6348
867,2687.6,2849.1865
868,2789.05,2809.3225
869,2682.21,2773.462
870,2696.53,2742.05
871,2997.62,2714.5806
872,3014.98,2694.1567
873,3056.96,2680.396
874,3141.15,2673.6924
875,3119.73,2673.5444
876,3245.4,2678.2686
877,3074.02,2688.6807
878,2928.47,2701.842
879,2920.53,2715.9856
880,2872.67,2731.3406
881,2930.97,2745.6003
882,3185.41,2758.8667
883,3123.3,2772.5535
884,2892.99,2787.4478
885,2780.74,2801.4438
886,2765.64,2813.366
887,2622.29,2822.6516
888,2568.24,2829.9033
889,2638.8,2832.9084
890,2580.16,2830.811
891,2598.04,2825.144
892,2770.28,2815.91
893,2781.42,2804.9988
894,2617.11,2793.704
895,2921.57,2780.8508
896,2977.9,2768.9766
897,2948.67,2759.5405
898,2834.21,2752.382
899,2622.18,2746.772
900,2665.92,2742.085
901,2550.47,2737.1267
902,2491.02,2729.4229
903,2576.57,2719.988
904,2728.48,2709.0762
905,2607.08,2697.7444
906,2557.02,2686.415
907,2567.82,2674.1006
908,2515.27,2662.5403
909,2589.69,2651.2104
910,2619.53,2639.7947
911,2774.67,2628.9832
912,2813.01,2619.4666
913,2939.66,2611.0376
914,2952.01,2606.633
915,2862.76,2607.3098
916,2890.31,2611.5005
917,2970.0,2618.2324
918,3037.65,2628.1914
919,3113.03,2640.89
920,3104.49,2655.8442
921,3146.71,2673.4575
922,3295.74,2693.0754
923,3333.46,2714.4307
924,3401.23,2738.506
925,3386.14,2766.1895
926,3281.81,2794.3706
927,3455.61,2823.3176
928,3445.8,2853.732
929,3522.21,2885.5356
930,3520.4,2919.0522
931,3406.26,2952.4502
932,3167.98,2985.4211
933,3227.13,3015.5032
934,3192.19,3041.5635
935,3259.88,3063.0068
936,3202.72,3081.7039
937,2979.66,3097.1506
938,3028.88,3107.8792
939,3119.33,3114.4763
940,3022.3,3117.2705
941,3040.69,3116.6128
942,3060.48,3112.492
943,2987.66,3106.2292
944,3056.26,3097.5051
945,3102.16,3087.7085
946,3076.73,3078.0652
947,2983.36,3068.224
948,2962.67,3057.6316
949,2932.85,3046.2964
950,2921.7,3034.1008
951,3006.53,3021.49
952,2809.82,3008.8486
953,2889.59,2994.7625
954,2936.47,2980.2485
955,2817.23,2965.6733
956,2726.5,2951.0115
957,2824.86,2936.0747
958,2857.18,2919.9485
959,2780.96,2904.192
960,2939.93,2888.1907
961,2747.88,2873.487
962,2692.95,2859.8135
963,2635.81,2847.148
964,2518.92,2833.2966
965,2228.16,2817.978
966,2340.77,2798.678
967,2076.19,2776.3992
968,1954.96,2750.619
969,2005.34,2719.0288
970,2052.71,2682.0862
971,2142.34,2641.9666
972,2020.83,2599.6458
973,2088.66,2555.5903
974,1911.43,2511.4866
975,2017.83,2466.261
976,1956.94,2421.1174
977,1972.3,2376.7666
978,2040.79,2334.0671
979,1971.71,2293.419
980,1976.73,2254.9263
981,1940.52,2218.671
982,1790.04,2184.0393
983,1724.36,2151.6943
984,1790.42,2119.1606
985,1811.67,2086.9128
986,1997.49,2056.2375
987,1940.53,2028.3342
988,1816.33,2002.3793
989,1832.98,1978.2458
990,1773.5,1956.4242
991,1803.42,1935.0289
992,1804.3,1916.145
993,1857.72,1898.7634
994,1812.3,1883.1875
995,1790.55,1869.5227
996,1787.24,1858.3757
997,1661.24,1847.1481
998,1531.25,1837.1521
999,1433.04,1826.1697
1000,1208.05,1812.1418
1001,1205.17,1793.4493
1002,1236.15,1769.5021
1003,1067.69,1741.9547
1004,1085.35,1709.244
1005,994.18,1673.2933
1006,1126.03,1632.5944
1007,1126.79,1589.731
1008,1124.57,1545.4691
1009,1048.84,1500.5999
1010,1143.5,1456.3511
1011,1223.9,1413.3645
1012,1241.11,1373.1304
1013,1197.14,1337.074
1014,1190.57,1304.7507
1015,1142.15,1275.4119
1016,1098.68,1249.0098
1017,1070.3,1224.1311
1018,1058.47,1201.7552
1019,1066.06,1181.7451
1020,1072.96,1163.003
1021,1149.52,1145.882
1022,1131.39,1130.285
1023,1185.59,1116.4713
1024,1237.45,1104.5121
1025,1213.07,1095.3887
1026,1216.42,1088.8479
1027,1167.31,1084.6204
1028,1095.3,1082.7657
1029,1037.71,1082.2909
