,Actual,Predicted
506,113.8428,136.83287
507,115.3374,135.50209
508,117.6195,134.4959
509,113.6035,133.63548
510,114.1752,132.96786
511,106.2179,132.50136
512,96.55,132.09834
513,95.9872,131.63141
514,92.9343,131.21016
515,96.4504,130.74542
516,105.6831,130.22533
517,101.9614,129.69868
518,93.5856,129.25496
519,89.9551,128.77917
520,91.2966,128.31476
521,90.7537,127.866646
522,83.0469,127.49437
523,86.4667,127.18362
524,84.5952,126.72745
525,89.5898,126.25411
526,92.8645,125.695435
527,90.313,125.139435
528,85.6735,124.60248
529,99.7669,124.03671
530,98.7441,123.47138
531,100.8055,123.00565
532,95.7002,122.57732
533,88.4034,122.14097
534,89.6164,121.83195
535,84.5485,121.54646
536,81.6855,121.15639
537,82.3296,120.72999
538,88.1232,120.25403
539,82.833,119.74376
540,80.7039,119.253815
541,81.4201,118.73217
542,78.7224,118.25696
543,81.2296,117.830864
544,82.8694,117.3757
545,87.8539,116.93172
546,87.829,116.47129
547,89.8575,115.96878
548,92.3975,115.56674
549,88.6275,115.319725
550,88.6075,115.16904
551,90.4523,115.057816
552,94.9422,115.00237
553,102.3649,115.078514
554,98.635,115.21184
555,101.8126,115.45134
556,107.1052,115.736755
557,105.8341,116.10173
558,111.6407,116.594765
559,120.8729,117.23916
560,122.8664,117.89359
561,134.5639,118.717705
562,132.5495,119.716896
563,136.9242,120.94997
564,132.125,122.42235
565,126.87,124.01069
566,112.974,125.71017
567,118.483,127.3978
568,110.0515,128.99661
569,113.0145,130.4079
570,111.0942,131.71495
571,99.6819,132.87386
572,103.2476,133.81837
573,104.9696,134.57784
574,100.7715,135.12317
575,101.3858,135.47229
576,102.0669,135.61584
577,100.21,135.62537
578,102.35000000000001,135.4998
579,108.55,135.26279
580,105.6,135.0163
581,101.8015,134.74522
582,100.5265,134.43407
583,100.6276,134.05945
584,99.2011,133.60179
585,100.9758,133.16382
586,95.7381,132.6898
587,98.3136,132.1526
588,98.2356,131.61978
589,93.9642,131.0333
590,84.6612,130.35858
591,89.6093,129.63017
592,87.5001,128.76431
593,85.8329,127.891815
594,92.7304,126.95306
595,84.5106,126.06374
596,81.6125,125.21522
597,78.8209,124.4661
598,75.3783,123.61927
599,62.1056,122.790146
600,66.8438,121.81952
601,50.6912,120.75253
602,44.4498,119.62308
603,48.8727,118.24956
604,52.4249,116.66748
605,58.6893,114.97637
606,53.7232,113.19945
607,56.9674,111.37343
608,49.8309,109.56591
609,52.052,107.745026
610,49.3784,105.894936
611,50.2355,104.110596
612,52.4059,102.40859
613,49.1207,100.78282
614,49.6291,99.22187
615,47.9154,97.7446
616,43.3734,96.31877
617,41.1311,94.990845
618,44.2418,93.667885
619,44.9596,92.38269
620,47.1882,91.18312
621,45.728,90.12694
622,40.0996,89.08427
623,40.8405,88.10369
624,38.2219,87.17127
625,39.0178,86.197815
626,38.4998,85.32101
627,42.4165,84.48571
628,39.3118,83.70726
629,38.8042,82.98925
630,39.8849,82.41158
631,37.1192,81.81166
632,33.8887,81.36727
633,30.5752,80.961754
634,28.5412,80.478355
635,29.5304,79.914734
636,34.668,79.25317
637,30.0957,78.6247
638,30.6038,77.95688
639,31.9447,77.34815
640,34.1816,76.72441
641,35.2083,76.14925
642,36.3693,75.60674
643,34.0903,75.10061
644,38.1191,74.675964
645,41.8787,74.309616
646,42.19,74.04099
647,39.3565,73.90056
648,38.4923,73.851524
649,35.2746,73.829994
650,34.0131,73.8321
651,33.7134,73.822296
652,32.8251,73.81828
653,33.3249,73.841644
654,33.3053,73.830925
655,36.6525,73.81583
656,35.3629,73.78197
657,37.0293,73.74703
658,38.42,73.68413
659,38.0754,73.66707
660,38.0314,73.67523
661,36.685,73.69534
662,33.3824,73.75318
663,32.6389,73.8307
664,34.9268,73.91144
665,37.1289,73.98487
666,37.3546,74.037186
667,39.5937,74.04452
668,38.603,74.10714
669,43.4962,74.181305
670,44.8664,74.28053
671,42.0375,74.41304
672,43.12,74.583
673,40.5001,74.78471
674,39.9762,75.03005
675,40.9321,75.24816
676,36.6751,75.43833
677,36.2585,75.61039
678,40.2328,75.77566
679,42.9889,75.92438
680,41.9405,76.09429
681,43.86,76.27294
682,42.3439,76.46198
683,41.663,76.66487
684,39.7913,76.863884
685,38.56,77.05195
686,38.8361,77.188614
687,40.5548,77.31086
688,40.0569,77.398285
689,40.6214,77.45758
690,42.1736,77.50921
691,40.3444,77.55995
692,42.4965,77.618835
693,42.8001,77.70835
694,45.4998,77.80935
695,46.6101,77.90897
696,44.8665,78.02084
697,43.7164,78.15965
698,43.0864,78.29813
699,40.5588,78.45455
700,39.5135,78.56008
701,35.8533,78.634056
702,35.2676,78.6904
703,36.4872,78.680466
704,35.4183,78.638695
705,35.6924,78.546715
706,34.8941,78.39834
707,35.2494,78.24356
708,31.7417,78.05434
709,31.5179,77.787636
710,30.4421,77.45728
